成都移动,#genre#

CCTV1,rtp://239.11.0.65:5140$成都mb
CCTV2,rtp://239.11.0.108:5140$成都mb
CCTV3,rtp://239.11.0.101:5140$成都mb
CCTV4,rtp://239.11.0.109:5140$成都mb
CCTV5,rtp://239.11.0.100:5140$成都mb
CCTV5+,rtp://239.11.0.241:5140$成都mb
CCTV6,rtp://239.11.0.102:5140$成都mb
CCTV7,rtp://239.11.0.110:5140$成都mb
CCTV8,rtp://239.11.0.103:5140$成都mb
CCTV9,rtp://239.11.0.111:5140$成都mb
CCTV10,rtp://239.11.0.112:5140$成都mb
CCTV11,rtp://239.11.0.22:5140$成都mb
CCTV12,rtp://239.11.0.113:5140$成都mb
CCTV13,rtp://239.11.0.24:5140$成都mb
CCTV14,rtp://239.11.0.114:5140$成都mb
CCTV15,rtp://239.11.0.26:5140$成都mb
CCTV17,rtp://239.11.0.107:5140$成都mb
CETV1,rtp://239.11.0.139:5140$成都mb
CETV2,rtp://239.11.0.246:5140$成都mb
CETV3,rtp://239.11.0.247:5140$成都mb
CETV4,rtp://239.11.0.248:5140$成都mb

newtv1,rtp://239.11.0.145:5140$成都mb
newtv2,rtp://239.11.0.147:5140$成都mb
newtv家庭剧场,rtp://239.11.0.131:5140$成都mb
newtv精品记录,rtp://239.11.0.132:5140$成都mb
newtv健康有约,rtp://239.11.0.133:5140$成都mb
newtv精品体育,rtp://239.11.0.134:5140$成都mb
newtv军事评论,rtp://239.11.0.136:5140$成都mb
newtv农业致富,rtp://239.11.0.137:5140$成都mb
newtv古装剧场,rtp://239.11.0.141:5140$成都mb
newtv动作电影,rtp://239.11.0.142:5140$成都mb
newtv军旅剧场,rtp://239.11.0.143:5140$成都mb
newtv惊悚悬疑,rtp://239.11.0.144:5140$成都mb
newtv爱情喜剧,rtp://239.11.0.149:5140$成都mb
newtv精品大剧,rtp://239.11.0.150:5140$成都mb
newtv中国功夫,rtp://239.11.0.151:5140$成都mb
newtv金牌综艺,rtp://239.11.0.152:5140$成都mb
newtv搏击,rtp://239.11.0.146:5140$成都mb
S川C文旅,rtp://239.11.0.3:5140$成都mb
S川C公共,rtp://239.11.0.4:5140$成都mb
S川C经济,rtp://239.11.0.2:5140$成都mb
S川C新闻,rtp://239.11.0.5:5140$成都mb
S川C影视,rtp://239.11.0.77:5140$成都mb
S川C妇女,rtp://239.11.0.8:5140$成都mb
S川C科教,rtp://239.11.0.194:5140$成都mb
S川C成都TV1,rtp://239.10.0.11:5140$成都mb
S川C成都TV2,rtp://239.10.0.12:5140$成都mb
S川C成都TV3,rtp://239.10.0.13:5140$成都mb
S川C成都TV4,rtp://239.10.0.14:5140$成都mb
S川C成都TV5,rtp://239.10.0.15:5140$成都mb
S川C成都TV6,rtp://239.10.0.16:5140$成都mb
